case_id,open_date,close_date,target_close_date,case_topic,service_name,assigned_department,assigned_team,case_status,closure_reason,closure_comments,on_time,report_source,full_address,street_number,street_name,zip_code,neighborhood,public_works_district,city_council_district,fire_district,police_district,ward,precinct,longitude,latitude
BCS-00127204,2025-12-10 08:12:04.674615+00,2025-12-10 09:54:01+00,2025-12-13 08:12:04.674615+00,Fallen Tree or Branches,Fallen Tree or Branches,Parks & Recreation,Urban Forestry,Closed,Resolved,not a Tree emergency leaves on the sidewalk BY JL and GR,ONTIME,BOS311,"8 Centre St, Boston, MA 02119",8,Centre St,02119,Roxbury,10B,7,9,B2,09,05,-71.0921295,42.329799
BCS-00127211,2025-12-10 08:27:25.247+00,2025-12-11 17:46:05+00,2025-12-13 08:27:25.247+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,replaced photo cell,ONTIME,Call,"1-5 Langford Park, Boston, MA 02119",1,Langford Park,02119,Roxbury,10B,7,7,B2,12,04,-71.0798625,42.322311
BCS-00127214,2025-12-10 08:31:56.972339+00,2025-12-10 09:22:02+00,2025-12-13 08:31:56.972339+00,Fallen Tree or Branches,Fallen Tree or Branches,Parks & Recreation,Urban Forestry,Closed,Resolved,removed limb from sidewalk BY JL and GR,ONTIME,BOS311,"1180-1200 Washington St, Boston, MA 02118",1200,Washington St,02118,South End,1C,3,4,D4,03,16,-71.0663895,42.343038
BCS-00127226,2025-12-10 09:00:14.130791+00,2025-12-10 09:52:02+00,2025-12-13 09:00:14.130791+00,Street Light Knockdown,Street Light Knockdown,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,,ONTIME,BOS311,"33 Mount Vernon St, Boston, MA 02114",35,Mount Vernon St,02114,Beacon Hill,1B,8,3,A1,05,03,-71.064675,42.358509
BCS-00127229,2025-12-10 09:02:43.124087+00,2025-12-11 17:00:22+00,2025-12-13 09:02:43.124087+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,BOS311,"841-843 E Fourth St, Boston, MA 02127",843,E Fourth St,02127,South Boston,5,2,6,C6,06,09,-71.0297685,42.33474
BCS-00127275,2025-12-10 09:48:55.586356+00,,2025-12-13 09:48:55.586356+00,Street Light Knockdown,Street Light Knockdown,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,Franklin St & Hawley St,39,Franklin St,02108,Downtown,1C,2,3,A1,03,12,-71.05891235,42.35572908
BCS-00127295,2025-12-10 10:04:51.621+00,2025-12-12 10:15:02+00,2025-12-13 10:04:51.621+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,Dedham Pkwy & Enneking Pkwy,,Dedham Pkwy & Enneking Pkwy,02136,Hyde Park,8A,5,10,E18,18,19,-71.13839507,42.25830573
BCS-00127368,2025-12-10 11:28:23.942+00,2025-12-11 08:28:02+00,2025-12-13 11:28:23.942+00,Tree or Stump Removal,Tree or Stump Removal,Parks & Recreation,Urban Forestry,Closed,Resolved,removed private tree by OD Dr HC,ONTIME,Call,Forsyth Way & Huntington Ave,,Forsyth Way & Huntington Ave,02115,Fenway,10A,8,4,D4,04,10,-71.09233351,42.33907694
BCS-00127384,2025-12-10 11:51:21.415285+00,2025-12-10 13:54:03+00,2025-12-13 11:51:21.415285+00,Fallen Tree or Branches,Fallen Tree or Branches,Parks & Recreation,Urban Forestry,Closed,Resolved,removed large limb down in field at Hardiman by JL HC GR OD CC,ONTIME,BOS311,"380 Faneuil St, Boston, MA 02135",380,Faneuil St,02135,Brighton,4,9,11,D14,22,07,-71.1659655,42.351597
BCS-00127393,2025-12-10 11:58:32.50916+00,2025-12-10 13:38:01+00,2025-12-13 11:58:32.50916+00,Fallen Tree or Branches,Fallen Tree or Branches,Parks & Recreation,Urban Forestry,Closed,Resolved,removed limb was hanging in park. by JL HC GR OD CC,ONTIME,BOS311,"30 Chestnut Hill Ave, Boston, MA 02135",30,Chestnut Hill Ave,02135,Brighton,4,9,11,D14,22,03,-71.153748,42.347574
BCS-00127409,2025-12-10 12:14:35.71+00,,2025-12-13 12:14:35.71+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"62 Cheney St 4, Roxbury, MA 02121",62,Cheney St,02121,Roxbury,10B,7,9,B2,12,07,-71.08588,42.30949
BCS-00127468,2025-12-10 13:41:01.361+00,2025-12-11 17:00:29+00,2025-12-13 13:41:01.361+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Noted,,ONTIME,Call,"Blue Hill Ave & Waverly St, Roxbury, MA 02119",,Blue Hill Ave & Waverly St,02119,Roxbury,3,7,7,B2,12,04,-71.07777,42.319881
BCS-00127469,2025-12-10 13:43:30.309553+00,2025-12-10 17:56:02+00,2025-12-13 13:44:02.247167+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,All the lights are working at this time.,ONTIME,BOS311,"1225-1229 River St, Boston, MA 02136",1237,River St,02136,Hyde Park,8B,5,12,E18,18,18,-71.12304,42.256143
BCS-00127479,2025-12-10 13:54:16.365732+00,,2025-12-13 13:54:16.365732+00,Wild Animal Issue,Wild Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,BOS311,"206 Clarendon St, Boston, MA 02116",206,Clarendon St,02116,Back Bay,1C,2,4,D4,04,02,-71.075259,42.35031
BCS-00127545,2025-12-10 15:17:26.198+00,2026-01-09 07:44:06+00,2025-12-13 15:17:26.198+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,Closed,Resolved,"The tree was pruned by Northern Tree Service, to the City of Boston tree pruning specifications.",OVERDUE,Call,"53-53A Edgewood St, Boston, MA 02119",53,Edgewood St,02119,Roxbury,10B,7,7,B2,12,04,-71.079075,42.317577
BCS-00127559,2025-12-10 15:38:22.981627+00,,2025-12-13 15:38:22.981627+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"5 Lithgow St, Boston, MA 02124",7,Lithgow St,02124,Dorchester,7A,4,8,C11,17,06,-71.070912,42.28938
BCS-00127560,2025-12-10 15:39:36.739147+00,2025-12-11 08:20:04+00,2025-12-13 15:39:36.739147+00,Fallen Tree or Branches,Fallen Tree or Branches,Parks & Recreation,Urban Forestry,Closed,Resolved,"this job was inspect it yesterday by JL and GR. this is a private property the Tree belong to property of 8 centre st, description is a in the pics. private on private GR JL CC",ONTIME,BOS311,"8 Centre St, Boston, MA 02119",8,Centre St,02119,Roxbury,10B,7,9,B2,09,05,-71.0921295,42.329799
BCS-00127562,2025-12-10 15:39:58.092+00,2025-12-11 07:18:02+00,2025-12-13 15:39:58.092+00,Fallen Tree or Branches,Fallen Tree or Branches,Parks & Recreation,Urban Forestry,Closed,Noted,Site will be thoroughly cleaned up by the tree removal contractor once they grind the tree stump down.,ONTIME,Call,"5 Kingsland Rd, Boston, MA 02132",5,Kingsland Rd,02132,West Roxbury,6A,6,10,E5,20,17,-71.1675315,42.288948
BCS-00127573,2025-12-10 15:46:27.478+00,2025-12-11 07:16:02+00,2025-12-13 15:46:27.478+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,Closed,Noted,Please contact the City of Boston Clerks office in order to file a claim. https://www.boston.gov/departments/city-clerk#injury-damage-claims,ONTIME,Call,"18 Lakeville Rd, Boston, MA 02130",18,Lakeville Rd,02130,Jamaica Plain,2,6,9,E13,19,05,-71.114922,42.316218
BCS-00127594,2025-12-10 16:56:12.541+00,,2025-12-13 16:56:12.541+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,Call,"700 Huntington Ave, Boston, MA 02120",700,Huntington Ave,02120,Mission Hill,10A,8,9,B2,10,03,-71.1033615,42.334479
BCS-00127599,2025-12-10 17:26:52.364879+00,,2025-12-13 17:26:52.364879+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"31 Upton St, Boston, MA 02118",31,Upton St,02118,South End,1C,2,4,D4,03,07,-71.07219,42.342579
BCS-00127616,2025-12-10 18:15:55.738+00,,2025-12-13 18:15:55.738+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,In progress,,,OVERDUE,Call,"565 Columbus Ave, South End, MA 02118",565,Columbus Ave,02118,South End,1C,7,4,D4,09,06,-71.081541,42.341112
BCS-00127624,2025-12-10 19:19:10.56766+00,,2025-12-13 19:19:10.56766+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"177 London St, Boston, MA 02128",177,London St,02128,East Boston,9,1,1,A7,01,06,-71.037279,42.374592
BCS-00127625,2025-12-10 19:39:41.836+00,,2025-12-13 19:39:41.836+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,Call,"1713-1715 Commonwealth Ave, Boston, MA 02135",1713,Commonwealth Ave,02135,Brighton,4,9,11,D14,21,11,-71.147871,42.342003
BCS-00127639,2025-12-10 20:47:02.709982+00,,2025-12-13 20:47:02.709982+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"133-135 Fulton St, Boston, MA 02109",133,Fulton St,02109,North End,1B,1,3,A1,03,01,-71.0526195,42.362676
BCS-00127642,2025-12-10 21:35:25.06+00,2025-12-11 17:00:38+00,2025-12-13 21:35:25.06+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"15-19 Edinboro St, Chinatown, MA 02111",17,Edinboro St,02111,Chinatown,1C,2,4,A1,03,08,-71.059887,42.351975
BCS-00127644,2025-12-10 21:53:54.872+00,,2025-12-13 21:53:54.872+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,Call,"215-233 Blue Hill Ave, Boston, MA 02119",215,Blue Hill Ave,02119,Roxbury,10B,7,7,B2,12,04,-71.0782785,42.316929
BCS-00127645,2025-12-10 22:00:18.165765+00,2025-12-12 11:10:02+00,2025-12-13 22:00:18.165765+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,Closed,Resolved,Honeylocust pruned by SH. Low branch and damaged branches removed.,ONTIME,BOS311,"69 Mount Vernon St, Boston, MA 02108",69,Mount Vernon St,02108,Beacon Hill,1B,8,3,A1,05,03,-71.0666505,42.358491
BCS-00127646,2025-12-10 22:19:46.32+00,2025-12-11 17:00:45+00,2025-12-13 22:19:46.32+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"530 Western Ave, Brighton, MA 02135",530,Western Ave,02135,Brighton,4,9,11,D14,22,05,-71.1454095,42.361353
BCS-00127647,2025-12-10 22:41:51.79128+00,,2025-12-13 22:41:51.79128+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"29 Upton St, Boston, MA 02118",29,Upton St,02118,South End,1C,2,4,D4,03,07,-71.0721405,42.342525
BCS-00127653,2025-12-11 00:11:01.957057+00,2026-01-09 11:24:02+00,2025-12-14 00:11:01.957057+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,Closed,Resolved,checked for Power and replaced Led lamp,OVERDUE,BOS311,Public Alley No. 101 & Richmond St,105,Fulton St,02109,North End,1B,1,3,A1,03,01,-71.05290452,42.36219576
BCS-00127657,2025-12-11 01:54:29.25519+00,,2025-12-14 01:54:29.25519+00,Tree or Stump Removal,Tree or Stump Removal,Parks & Recreation,Urban Forestry,In progress,Resolved,,OVERDUE,BOS311,"54 Stockton St, Boston, MA 02124",54,Stockton St,02124,Dorchester,7B,4,8,B3,17,10,-71.0743995,42.282378
BCS-00127672,2025-12-11 07:48:54.009697+00,2025-12-11 17:00:51+00,2025-12-14 07:48:54.009697+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,BOS311,,,,,,,0,0,,,,,
BCS-00127693,2025-12-11 08:29:50.515+00,2025-12-11 09:04:02+00,2025-12-14 08:29:50.515+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,Closed,Resolved,thank you for reaching out. We will communicate with the contractor.,ONTIME,Call,"172 Brook Farm Rd, Boston, MA 02132",172,Brook Farm Rd,02132,West Roxbury,6A,6,10,E5,20,17,-71.1695925,42.290181
BCS-00127731,2025-12-11 09:36:07.915867+00,2025-12-15 12:56:22+00,2025-12-14 09:36:07.915867+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,Closed,Transitioned,,OVERDUE,BOS311,"30 Worcester Sq, Boston, MA 02118",30,Worcester Sq,02118,South End,1C,3,4,D4,08,02,-71.074089,42.336531
BCS-00127737,2025-12-11 09:39:25.786+00,2025-12-11 17:01:08+00,2025-12-14 09:39:25.786+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"2-4 Baird St, Dorchester, MA 02124",4,Baird St,02124,Dorchester,7B,5,12,B3,14,14,-71.091459,42.285528
BCS-00127744,2025-12-11 09:48:34.167+00,,2025-12-14 09:48:34.167+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,In progress,,,OVERDUE,Call,"65 Auckland St, Boston, MA 02125",65,Auckland St,02125,Dorchester,3,3,7,C11,15,06,-71.0563725,42.312528
BCS-00127792,2025-12-11 10:40:16.387+00,2025-12-11 11:50:06+00,2025-12-14 10:40:16.387+00,Fallen Tree or Branches,Fallen Tree or Branches,Parks & Recreation,Urban Forestry,Closed,Resolved,"tree branch removed by JB, IT",ONTIME,Call,"39 Appleton St, Boston, MA 02116",39,Appleton St,02116,South End,1C,2,4,D4,05,14,-71.071902,42.346062
BCS-00127793,2025-12-11 10:44:10.039+00,2025-12-15 09:10:01+00,2025-12-14 10:44:10.039+00,Pruning Request,Pruning Request,Parks & Recreation,Urban Forestry,Closed,Noted,Thank you for bringing this to our attention. the contractor will return to install new water bags.,OVERDUE,Call,"75 Robert St, Boston, MA 02131",75,Robert St,02131,Roslindale,6B,5,10,E5,20,04,-71.133912,42.288237
BCS-00127803,2025-12-11 11:01:11.834+00,,2025-12-14 11:01:11.834+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,Call,"875-875A Beacon St, Boston, MA 02215",875,Beacon St,02215,Fenway,10A,8,4,D4,21,01,-71.1044415,42.346539
BCS-00127822,2025-12-11 11:31:09.728902+00,,2025-12-14 11:31:09.728902+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"47-49 Neponset Ave, Boston, MA 02136",49,Neponset Ave,02136,Hyde Park,8B,5,12,E18,18,18,-71.1192285,42.248601
BCS-00127860,2025-12-11 12:04:13.82152+00,,2025-12-14 12:04:13.82152+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"18 Greenough Ave, Boston, MA 02130",18,Greenough Ave,02130,Jamaica Plain,2,6,9,E13,19,06,-71.113581,42.310125
BCS-00127867,2025-12-11 12:10:17.37+00,,2025-12-14 12:10:17.37+00,Street Light Other,Street Light Other,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,Call,"35 Hiawatha Rd, Boston, MA 02126",35,Hiawatha Rd,02126,Mattapan,7B,5,12,B3,18,03,-71.095149,42.27696
BCS-00127879,2025-12-11 12:27:54.858611+00,,2025-12-14 12:27:54.858611+00,Street Light Outage,Street Light Outage,Public Works Department (PWD),PWD Street Lighting,In progress,,,OVERDUE,BOS311,"172-174 Endicott St, Boston, MA 02113",172,Endicott St,02113,North End,1B,1,3,A1,03,04,-71.05761,42.365781
BCS-00127902,2025-12-11 13:04:02.87+00,2025-12-11 17:01:25+00,2025-12-14 13:04:02.87+00,Domestic Animal Issue,Domestic Animal Issue,Animal Care & Control,Animal control staff,Closed,Resolved,,ONTIME,Call,"432 Washington St, Dorchester, MA 02124",432,Washington St,02124,Dorchester,3,4,7,C11,17,01,-71.0719515,42.296481
